t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.002,-2.54097e-14,-4.23495e-14,-8.6294e-14,6.47546e-09,-3.88527e-09,-5.34798e-13,-5.08193e-11,-8.46991e-11,-8.6294e-11,1.29509e-05,-7.77054e-06,-1.0696e-09,0.619409,0.619402,0.619413,0.61942
0.004,-4.09523e-13,-6.82541e-13,-3.3102e-13,2.66585e-08,-1.5995e-08,-1.57654e-12,-4.12492e-10,-6.87489e-10,-1.58432e-10,2.74151e-05,-1.6449e-05,-1.01389e-09,0.619408,0.619401,0.619414,0.619421
0.006,-2.1033e-12,-3.5055e-12,-7.11069e-13,6.06972e-08,-3.64182e-08,-2.56904e-12,-1.41485e-09,-2.35809e-09,-2.21616e-10,4.06623e-05,-2.43973e-05,-9.71097e-10,0.619409,0.619402,0.619413,0.619421
0.008,-6.70418e-12,-1.11737e-11,-1.20923e-12,1.07225e-07,-6.43348e-08,-3.5181e-12,-3.36861e-09,-5.61436e-09,-2.76544e-10,5.23934e-05,-3.14359e-05,-9.27025e-10,0.619409,0.619403,0.619413,0.619419
0.01,-1.63974e-11,-2.73291e-11,-1.81232e-12,1.64797e-07,-9.88778e-08,-4.42413e-12,-6.55052e-09,-1.09176e-08,-3.26549e-10,6.27504e-05,-3.76501e-05,-8.85029e-10,0.619409,0.619404,0.619413,0.619418
0.012,-3.38888e-11,-5.64816e-11,-2.50901e-12,2.32132e-07,-1.39279e-07,-5.28767e-12,-1.12052e-08,-1.86753e-08,-3.7014e-10,7.19195e-05,-4.31515e-05,-8.42051e-10,0.619409,0.619405,0.619413,0.619418
0.014,-6.23448e-11,-1.03908e-10,-3.28751e-12,3.08121e-07,-1.84872e-07,-6.10888e-12,-1.7549e-08,-2.92485e-08,-4.08356e-10,8.00596e-05,-4.80355e-05,-8.00375e-10,0.61941,0.619405,0.619413,0.619417
0.016,-1.0534e-10,-1.75567e-10,-4.13793e-12,3.918e-07,-2.35079e-07,-6.88878e-12,-2.57743e-08,-4.29573e-08,-4.42067e-10,8.72981e-05,-5.23786e-05,-7.59428e-10,0.61941,0.619406,0.619412,0.619416
0.018,-1.66811e-10,-2.78019e-10,-5.0541e-12,4.82318e-07,-2.89389e-07,-7.63105e-12,-3.60517e-08,-6.00864e-08,-4.74105e-10,9.37365e-05,-5.62416e-05,-7.25114e-10,0.61941,0.619406,0.619412,0.619416
